Mois,Produit,Quantité,Prix Unitaire
Juin,Lait,500,4
Juin,Oeufs,1300,2.5
Juin,Eau,2500,1.8
Juin,Sucre,300,3.5
Juin,Farine,800,3
Juillet,Lait,960,4
Juillet,Oeufs,920,2.5
Juillet,Eau,880,1.8
Juillet,Sucre,840,3.5
Juillet,Farine,800,3
Août,Lait,760,4
Août,Oeufs,720,2.5
Août,Eau,680,1.8
Août,Sucre,640,3.5
Août,Farine,600,3
Septembre,Lait,560,4
Septembre,Oeufs,520,2.5
Septembre,Eau,480,1.8
Septembre,Sucre,440,3.5
Septembre,Farine,400,3
Octobre,Lait,360,4
Octobre,Oeufs,320,2.5
Octobre,Eau,280,1.8
Octobre,Sucre,240,3.5
Octobre,Farine,200,3
Novembre,Lait,160,4
Novembre,Oeufs,320,2.5
Novembre,Eau,4480,1.8
Novembre,Sucre,640,3.5
Novembre,Farine,400,3
Décembre,Lait,160,4
Décembre,Oeufs,320,2.5
Décembre,Eau,4480,1.8
Décembre,Sucre,640,3.5
Décembre,Farine,400,3
